ID,SubjectID,UniqueID,SP,TwinID,MilkDataProcessed_SubjectID,Sex,Race,Year,HowOftenDrinkMilk,DrinkMilk,TestDate,TestingDay,TestingAge,Status_SelfReported,Status_Genotyped,MZDZ,Same_sex,Co_TwinID,HigherFatMilk_temp,LowerFatMilk_temp,TotalCorrect,Correct_FatFirst,Correct_FatSecond,Pyrophosphate_Sweet,Pyrophosphate_Salty,Pyrophosphate_Sour,Pyrophosphate_Bitter,Pyrophosphate_Burn,Pyrophosphate_Like,Pyrophosphate_Intense,Sucralose_Sweet,Sucralose_Salty,Sucralose_Sour,Sucralose_Bitter,Sucralose_Burn,Sucralose_Like,Sucralose_Intense,Chip_1_Fatty,Chip_1_Salty,Chip_1_Crispy,Chip_1_Like,Chip_2_Fatty,Chip_2_Salty,Chip_2_Crispy,Chip_2_Like,Chip_3_Fatty,Chip_3_Salty,Chip_3_Crispy,Chip_3_Like,Chip_4_Fatty,Chip_4_Salty,Chip_4_Crispy,Chip_4_Like,Odor_1_Smell,Odor_1_Like,Odor_1_Intense,Odor_2_Smell,Odor_2_Like,Odor_2_Intense,Menthol_Sweet,Menthol_Salty,Menthol_Sour,Menthol_Bitter,Menthol_Burn,Menthol_Cool,Menthol_Liking,Menthol_Intense,Capsaicin_Sweet,Capsaicin_Salty,Capsaicin_Sour,Capsaicin_Bitter,Capsaicin_Burn,Capsaicin_Cool,Capsaicin_Liking,Capsaicin_Intense,2.5%CornOilNoFA_Fatty,2.5%CornOilNoFA_Salty,2.5%CornOilNoFA_Crispy,2.5%CornOilNoFA_Liking,15%CornOilNoFA_Fatty,15%CornOilNoFA_Salty,15%CornOilNoFA_Crispy,15%CornOilNoFA_Liking,5%CornOilNoFA_Fatty,5%CornOilNoFA_Salty,5%CornOilNoFA_Crispy,5%CornOilNoFA_Liking,10%CornOilNoFA_Fatty,10%CornOilNoFA_Salty,10%CornOilNoFA_Crispy,10%CornOilNoFA_Liking,5%CornOil_02%Palmitic_Fatty,5%CornOil_02%Palmitic_Salty,5%CornOil_02%Palmitic_Crispy,5%CornOil_02%Palmitic_Liking,2.5%CornOil_02%Palmitic_Fatty,2.5%CornOil_02%Palmitic_Salty,2.5%CornOil_02%Palmitic_Crispy,2.5%CornOil_02%Palmitic_Liking,Water_Cool1,Sucrose_Cool2,NaCl_Cool3,PTC_Cool9,PTC_Bitter9,PTC_Intense9,PTC_Like9,Stevia_Like17,Sucrose_Like2,Sucrose_Sweet2
11,TWA011,TW-11,1,1,,F,1,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.8,0,,5.5,3.2
12,TWA012,TW-12,1,2,,F,1,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4.2,4.2,,6.1,5.2
13,TWA013,TW-13,1,1,,F,1,,,,8/8/2009,Saturday,60,MZ,,MZ,Same,TWA014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3,1.4,,3.4,6.5
14,TWA014,TW-14,1,2,,F,1,,,,8/8/2009,Saturday,60,MZ,,MZ,Same,TWA013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,2.4,,3.6,5.6
15,TWA015,TW-15,1,1,,M,1,,,,8/8/2009,Saturday,39,MZ,,MZ,Same,TWA016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,6.5,0.2,,5.8,2.5
16,TWA016,TW-16,1,2,,M,1,,,,8/8/2009,Saturday,39,MZ,,MZ,Same,TWA015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.2,1.2,,3.7,7
17,TWA017,TW-17,1,1,,F,6,,,,8/8/2009,Saturday,21,MZ,,MZ,Same,TWA018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.2,0.2,,6.5,5.8
18,TWA018,TW-18,1,2,,F,6,,,,8/8/2009,Saturday,21,MZ,,MZ,Same,TWA017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.4,0,,3.7,3.7
19,TWA019,TW-19,1,1,,F,1,,,,8/8/2009,Saturday,25,MZ,,MZ,Same,TWA020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.5,0,,5.7,5.5
20,TWA020,TW-20,1,2,,F,1,,,,8/8/2009,Saturday,25,MZ,,MZ,Same,TWA019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.4,0,,6.6,7
21,TWA021,TW-21,1,1,,M,1,,,,8/8/2009,Saturday,23,MZ,,MZ,Same,TWA022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8,3.8,,4.6,4.5
22,TWA022,TW-22,1,2,,M,1,,,,8/8/2009,Saturday,23,MZ,,MZ,Same,TWA021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8,3.6,,5.5,7
23,TWA023,TW-23,1,1,,F,1,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5,1.7,,6,7.4
24,TWA024,TW-24,1,2,,F,1,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.8,0,,6.7,4
25,TWA025,TW-25,1,1,,F,1,,,,8/8/2009,Saturday,61,MZ,,MZ,Same,TWA026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,5.8,0,,4.4,4.9
26,TWA026,TW-26,1,2,,F,1,,,,8/8/2009,Saturday,61,MZ,,MZ,Same,TWA025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.4,0,,7,7
27,TWA027,TW-27,1,1,,M,1,,,,8/8/2009,Saturday,51,MZ,,MZ,Same,TWA028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,7,0.2,,0.8,5.6
28,TWA028,TW-28,1,2,,M,1,,,,8/8/2009,Saturday,51,MZ,,MZ,Same,TWA027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.2,3,,1.8,1.8
29,TWA029,TW-29,4,1,,,9,,,,8/8/2009,Saturday,,DZ,,DZ,Same,TWA030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TWA030,TW-30,4,2,,,9,,,,8/8/2009,Saturday,,DZ,,DZ,Same,TWA029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TWA031,TW-31,4,1,,M,2,,,,8/8/2009,Saturday,28,MZ,,MZ,Same,TWA032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,TWA032,TW-32,4,2,,M,2,,,,8/8/2009,Saturday,28,MZ,,MZ,Same,TWA031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TWA033,TW-33,2,1,,F,1,,,,8/8/2009,Saturday,40,MZ,,MZ,Same,TWA034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6,0,,6.2,0
34,TWA034,TW-34,1,2,,F,1,,,,8/8/2009,Saturday,40,MZ,,MZ,Same,TWA033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.8,0,,3.7,2.5
35,TWA035,TW-35,1,1,,F,4,,,,8/8/2009,Saturday,52,MZ,,MZ,Same,TWA036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,1.2,1,,0,7.4
36,TWA036,TW-36,2,2,,F,4,,,,8/8/2009,Saturday,52,MZ,,MZ,Same,TWA035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,7.3
37,TWA037,TW-37,1,1,,F,1,,,,8/8/2009,Saturday,23,MZ,,MZ,Same,TWA038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4,2.4,,6.3,3.5
38,TWA038,TW-38,1,2,,F,1,,,,8/8/2009,Saturday,23,MZ,,MZ,Same,TWA037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,2.4,1.7,,6.5,7.3
39,TWA039,TW-39,2,1,,F,1,,,,8/8/2009,Saturday,61,DZ,DZ,DZ,Same,TWA040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.5,2.8,,3.5,4.3
40,TWA040,TW-40,1,2,,F,1,,,,8/8/2009,Saturday,61,DZ,DZ,DZ,Same,TWA039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.5,3.3,,4.5,3.2
41,TWA041,TW-41,1,1,,F,1,,,,8/8/2009,Saturday,81,DZ,DZ,DZ,Same,TWA042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.7,0.3,,3.7,4.3
42,TWA042,TW-42,1,2,,F,1,,,,8/8/2009,Saturday,81,DZ,DZ,DZ,Same,TWA041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.4,0,,3.7,0
43,TWA043,TW-43,1,1,,F,1,,,,8/8/2009,Saturday,47,MZ,,MZ,Same,TWA044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.4,0,,5.3,7.4
44,TWA044,TW-44,3,2,,F,1,,,,8/8/2009,Saturday,47,MZ,,MZ,Same,TWA043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7.4,,3.5,7.4
45,TWA045,TW-45,1,1,,M,4,,,,8/8/2009,Saturday,50,MZ,,MZ,Same,TWA046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.5,0,,6.2,7.1
46,TWA046,TW-46,1,2,,M,4,,,,8/8/2009,Saturday,50,MZ,,MZ,Same,TWA045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.2,0,,4.7,4.5
47,TWA047,TW-47,1,1,,F,1,,,,8/8/2009,Saturday,74,MZ,,MZ,Same,TWA048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.2,0.4,,1,0.8
48,TWA048,TW-48,1,2,,F,1,,,,8/8/2009,Saturday,74,MZ,,MZ,Same,TWA047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.9,0.1,,5.5,3.5
49,TWA049,TW-49,1,1,,F,1,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.4,0,,3.7,6.7
50,TWA050,TW-50,1,2,,F,1,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.4,0,,5.7,6.4
51,TWA051,TW-51,1,1,,F,4,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,3.9,0,,3.7,4.4
52,TWA052,TW-52,1,2,,F,4,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,4.8,0.4,,4.8,5.4
53,TWA053,TW-53,1,1,,F,1,,,,8/8/2009,Saturday,42,MZ,,MZ,Same,TWA054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.7,,4.9,1.6
54,TWA054,TW-54,1,2,,F,1,,,,8/8/2009,Saturday,42,MZ,,MZ,Same,TWA053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.7,,3.7,3.2
55,TWA055,TW-55,1,1,,F,1,,,,8/8/2009,Saturday,59,DZ,,DZ,Same,TWA056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,4.5,0,,3.7,5.3
56,TWA056,TW-56,1,2,,F,1,,,,8/8/2009,Saturday,59,DZ,,DZ,Same,TWA055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,6.5,0.1,,7.4,6.7
57,TWA057,TW-57,1,1,,F,1,,,,8/8/2009,Saturday,55,MZ,,MZ,Same,TWA058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.5,4.6,,1,7.2
58,TWA058,TW-58,1,2,,F,1,,,,8/8/2009,Saturday,55,MZ,,MZ,Same,TWA057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.5,0.4,,4,0.7
59,TWA059,TW-59,1,1,,F,1,,,,8/8/2009,Saturday,54,MZ,,MZ,Same,TWA060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6,0.1,,0.3,4
60,TWA060,TW-60,1,2,,F,1,,,,8/8/2009,Saturday,54,MZ,,MZ,Same,TWA059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,6.3,0.3,,0.3,6.6
61,TWA061,TW-61,1,1,,F,1,,,,8/8/2009,Saturday,52,MZ,,MZ,Same,TWA062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,6.7,0.3,,5.8,6.5
62,TWA062,TW-62,1,2,,F,1,,,,8/8/2009,Saturday,52,MZ,,MZ,Same,TWA061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,6.7,1,,6.3,6.8
63,TWA063,TW-63,4,1,,F,1,,,,8/8/2009,Saturday,79,MZ,,MZ,Same,TWA064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,TWA064,TW-64,4,2,,F,1,,,,8/8/2009,Saturday,79,MZ,,MZ,Same,TWA063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,TWA065,TW-65,2,1,,F,1,,,,8/8/2009,Saturday,60,DZ,,DZ,Same,TWA066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,7.4,0,,3.7,0
66,TWA066,TW-66,2,2,,F,1,,,,8/8/2009,Saturday,60,DZ,,DZ,Same,TWA065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,0,0
67,TWA067,TW-67,2,1,,F,4,,,,8/8/2009,Saturday,59,MZ,,MZ,Same,TWA068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.4,0,,3.8,7.4
68,TWA068,TW-68,2,2,,F,4,,,,8/8/2009,Saturday,59,MZ,,MZ,Same,TWA067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.2,0.2,,4.2,7
69,TWA069,TW-69,1,1,,M,1,,,,8/8/2009,Saturday,25,MZ,,MZ,Same,TWA070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.4,0,,6.5,7.4
70,TWA070,TW-70,1,2,,M,1,,,,8/8/2009,Saturday,25,MZ,,MZ,Same,TWA069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.5,0.5,,2,3.7
71,TWA071,TW-71,1,1,,M,4,,,,8/8/2009,Saturday,37,MZ,,MZ,Same,TWA072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.8,2.6,,3.1,2.5
72,TWA072,TW-72,1,2,,M,4,,,,8/8/2009,Saturday,37,MZ,,MZ,Same,TWA071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.7,0,,3.7,6.2
73,TWA073,TW-73,1,1,,M,1,,,,8/8/2009,Saturday,56,MZ,,MZ,Same,TWA074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.3,1.8,,4.2,5.7
